JKSE,KLSE,PSEI,SET.BK
5940.0,1531.0,7201.0,1514.0
5453.0,1483.0,6788.0,1341.0
4539.0,1351.0,5321.0,1126.0
4716.0,1408.0,5701.0,1302.0
4754.0,1473.0,5839.0,1343.0
4905.0,1501.0,6208.0,1339.0
5150.0,1604.0,5928.0,1329.0
5238.0,1525.0,5884.0,1311.0
4870.0,1505.0,5864.0,1237.0
5128.0,1467.0,6324.0,1195.0
5612.0,1563.0,6791.0,1408.0
5979.0,1627.0,7140.0,1449.0
5862.0,1566.0,6613.0,1467.0
6242.0,1578.0,6795.0,1497.0
5986.0,1574.0,6443.0,1587.0
5996.0,1602.0,6371.0,1583.0
5947.0,1584.0,6628.0,1594.0
5985.0,1533.0,6902.0,1588.0
6070.0,1495.0,6270.0,1522.0
6150.0,1601.0,6855.0,1639.0
6287.0,1538.0,6953.0,1606.0
6591.0,1562.0,7055.0,1623.0
6534.0,1514.0,7201.0,1569.0
6581.0,1568.0,7123.0,1658.0
6631.0,1512.0,7362.0,1649.0
6888.0,1608.0,7311.0,1685.0
7071.0,1587.0,7203.0,1695.0
7229.0,1600.0,6731.0,1667.0
7149.0,1570.0,6775.0,1663.0
6912.0,1444.0,6155.0,1568.0
6951.0,1492.0,6316.0,1576.0
7179.0,1512.0,6584.0,1639.0
7041.0,1395.0,5741.0,1590.0
7099.0,1460.0,6153.0,1609.0
7081.0,1489.0,6781.0,1635.0
6851.0,1495.0,6566.0,1669.0
6839.0,1486.0,6793.0,1671.0
6843.0,1454.0,6556.0,1622.0
6805.0,1423.0,6500.0,1609.0
6916.0,1416.0,6625.0,1529.0
6633.0,1387.0,6477.0,1533.0
6662.0,1377.0,6468.0,1503.0
6931.0,1459.0,6591.0,1556.0
6953.0,1452.0,6175.0,1566.0
6940.0,1424.0,6321.0,1471.0
6752.0,1442.0,5974.0,1382.0
7081.0,1453.0,6224.0,1380.0
7273.0,1455.0,6450.0,1416.0
